category	subject_prefix	predicate	object_prefix	count_star()
biolink:GeneToGeneHomologyAssociation	ZFIN	biolink:orthologous_to	FB	70
biolink:GeneToGeneHomologyAssociation	ZFIN	biolink:orthologous_to	HGNC	33944
biolink:GeneToGeneHomologyAssociation	ZFIN	biolink:orthologous_to	MGI	28172
